Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),AWS Cloud Architect - Project 2 - Task 2,Amazon Virtual Private Cloud (VPC),0,526.5,6318.00,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),AWS Cloud Architect - Project 2 - Task 2 ,S3 Standard,0,1177.6,14131.20,USD,S3 Standard storage (50 TB per month)
My Estimate,US East (N. Virginia),AWS Cloud Architect - Project 2 - Task 2 ,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (50 TB per month), DT Outbound: Amazon CloudFront (50 TB per month)"
My Estimate,US East (N. Virginia),AWS Cloud Architect - Project 2 - Task 2 - Scenario 1,Amazon EC2,0,3129.76,37557.12,USD,"Operating system (Linux), Quantity (16), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (a1.metal)"
My Estimate,US East (N. Virginia),AWS Cloud Architect - Project 2 - Task 2 ,Application Load Balancer,0,393.38,4720.56,USD,Number of Application Load Balancers (4)
My Estimate,US East (N. Virginia),AWS Cloud Architect - Project 2 - Task 2 - Scenario 1,Amazon Aurora MySQL-Compatible,0,3767.8,45213.60,USD,"Change records per statement (0.38), Nodes (2), Instance Type (db.r4.4xlarge), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (5 TB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
